Código;GT;Autores;Instituciones
0001 ;12. sociología de la cultura, arte e interculturalidad;1Kátia Paranhos;1 - Universidade Federal de Uberlândia
0002 ;26. Sociología de los Cuerpos y las Emociones;1Adalberto Paranhos;1 - Universidade Federal de Uberlândia
0004 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Tauã Lima Verdan;1 - Universidade Federal Fluminense
0006 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Fabiana -; 1Leila Da Costa";1 - Unicamp
0007 ;13. Teoría Social y Pensamiento Latinoamericano;1Thiago Pinho;1 - UFBA
0008 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Denisse Sepulveda;1 - The university of Manchester
0009 ;24. Sociología de la Educación y Políticas Educativas;1Daniel Niewenhuize;1 - IGEHCS/UNCPBA/CONICET
0010 ;05. Desarrollo Rural y cuestión agraria;"1Lucy Andrea Cely; 1Julio Cesar Ducon";1 - Universidad de la Salle
0011 ;06. Imaginarios Sociales y Memoria;1Wilton Carlos Lima Da;1 - UNESP/ASSIS
0012 ;24. Sociología de la Educación y Políticas Educativas;"1Miguel Alexander Quintanilla; 1José Roberto Hernández";1 - Universidad Dr. Andrés Bello
0013 ;24. Sociología de la Educación y Políticas Educativas;1Andréa Ana Do Nascimento;1 - Professora Colaboradora (PPCS/PUCRS)
0014 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Nayara Alinne Soares; 2Geovani Jacó";1 - FACULDADE CISNE, 2 - UNIVERSIDADE ESTADUAL DO CEARÁ
0015 ;19. Acciones Colectivas y Movimientos Sociales;1Amaral Palevi Gómez;1 - Rede O Istmo
0016 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Amaral Palevi Gómez;1 - Rede O Istmo
0017 ;12. sociología de la cultura, arte e interculturalidad;1Júlio Aurélio Lopes;1 - Fundação Casa Rui Barbosa
0018 ;12. sociología de la cultura, arte e interculturalidad;1Jefferson Dantas;1 - Unicamp
0020 ;19. Acciones Colectivas y Movimientos Sociales;1Marcos Paulo Campos;1 - UVA
0021 ;08. Desigualdad, Pobreza y Exclusión Social;1César David Burga;1 - Universidad de San Marcos
0022 ;20. Sociología de la Religión;1Francisco Xavier Morales;1 - Pontificia Universidad Católica del Ecuador
0023 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Lara Denise Silva;1 - Universidade Federal do Ceará
0024 ;08. Desigualdad, Pobreza y Exclusión Social;"1Larissa Menezes De Lima; 1Elina Alice Pereira";1 - Universidade Federal da Paraíba
0025 ;18. Salud y Seguridad Social;1Natália Cesare Ponce;1 - Faculdade Governador Ozanam Coelho - FAGOC
0026 ;22. Sociología del Ocio y el Deporte;"1Bernardo Buarque; 2Rosana Da Câmara";1 - FGV-CPDOC, 2 - UFF-Educação
0027 ;19. Acciones Colectivas y Movimientos Sociales;1Caroline Bordalo;1 - CEFET-RJ
0028 ;12. sociología de la cultura, arte e interculturalidad;1Fabiola Esmeralda López;1 - Centro de Investigaciones y Estudios Superiores en Antropología Social
0029 ;08. Desigualdad, Pobreza y Exclusión Social;1Bruna Côrtes Moreira;1 - Universidade Federal Fluminense
0030 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Yanela Machado Martínez;1 - CENESEX
0031 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Wilder Andrés Carrero;1 - Fundación Universitaria del Área Andina
0032 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Hernan Campos;1 - Instituto de Estudios para el Desarrollo Social de la Facultad de Humanidades, Ciencias Sociales y de la Salud, Universidad Nacional de Santiago del Estero
0033 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Marina Malamud;1 - CONICET
0035 ;26. Sociología de los Cuerpos y las Emociones;1Celso Correa Pinto De;1 - FGV/CPDOC
0036 ;12. sociología de la cultura, arte e interculturalidad;1Cleber Gomes;1 - Universidade Federal de São Paulo-UNIFESP-FAPESP
0037 ;17. Trabajo y Restructuración Productiva;1Josué Gregorio Sabillón Casco;1 - Universidad Nacional Autónoma de Honduras
0040 ;26. Sociología de los Cuerpos y las Emociones;1Gabriela Pereira;1 - PUC SP
0041 ;05. Desarrollo Rural y cuestión agraria;1Vagner Ocner Filho;1 - Pontifícia Universidade Católica de São Paulo - PUC SP
0042 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Paula Herrera; 1Francisca Fonseca";1 - Universidad de la Frontera
0043 ;24. Sociología de la Educación y Políticas Educativas;1Juliane Bazzo;1 - Universidade Federal do Rio Grande do Sul (UFRGS)
0044 ;22. Sociología del Ocio y el Deporte;1José Manuel Alvarez;1 - ISEF - UDELAR
0045 ;08. Desigualdad, Pobreza y Exclusión Social;1Fábio Luís Cabral Cabral;1 - Faculdade Barretos
0046 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Gorka Moreno;1 - Universidad del País Vasco
0047 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Domingo Rafael Castañeda;1 - Universidad Tecnológica Fidel Velázquez
0050 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Jorge Polo;1 - Universidad Técnica del Norte
0051 ;01. Ciencia, Tecnologías e Innovación;"1Mariana Eva Di Bello; 2Lucía Ana Romero; 3Leonardo Silvio Vaccarezza";1 - CONICET-IESCT/UNLP, 2 - CONICET-IESCT/ UBA, 3 - IESCT UNQ
0052 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Sebastián Benítez; 1Magdalena Lemus";1 - Cimecs, IdIHCS, FaHCE, UNLP - CONICET
0053 ;24. Sociología de la Educación y Políticas Educativas;"1Laura Maria De Medeiros; 2Cátia Lubambo";1 - Universidade Federal de Pernambuco, 2 - Fundação Joaquim Nabuco
0054 ;01. Ciencia, Tecnologías e Innovación;1Lucía Romero;1 - CONICET
0055 ;13. Teoría Social y Pensamiento Latinoamericano;1Raphael Seabra;1 - Centro Universitário de Brasília - Uniceub
0056 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Cándido González; 1Brian Gómez";1 - Universidad de Guadalajara
0057 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Adrián Galindo;1 - Universidad Autónoma del Estado de Hidalgo
0060 ;17. Trabajo y Restructuración Productiva;1Rubens Vellinho;1 - Universidade Federal de Pelotas
0061 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Kenia Maryorie Meza; 1José Bayardo Cabrera";1 - Universidad Nacional Autónoma de Honduras
0062 ;17. Trabajo y Restructuración Productiva;1Laura Vecinday;1 - FCS - DTS
0063 ;26. Sociología de los Cuerpos y las Emociones;1Mauro Guilherme Koury;1 - GREM/PPGA/UFPB
0064 ;26. Sociología de los Cuerpos y las Emociones;1Raoni Barbosa;1 - GREM-UFPB/PPGA/UFPE
0065 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Héctor Luna;1 - Tribunal Constitucional Plurinacional
0066 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Bruno Fornillo;1 - CONICET-UBA
